symbol,pullback_type,entry_rule,don_break_len,regime_up,trades,win_rate_pct,profit_factor,avg_pnl,median_pnl,avg_pnl_R,median_pnl_R
JELLYJELLYUSDT,retest,close_above_break,20,True,4.0,50.0,3.9426143345077405,14.89354127316726,14.885358402153415,1.4893541273167261,1.4885358402153415
JOEUSDT,retest,close_above_break,20,True,1.0,100.0,,17.695928560793465,17.695928560793465,1.7695928560793466,1.7695928560793466
JSTUSDT,retest,close_above_break,20,True,2.0,0.0,0.0,-10.685257002163915,-10.685257002163915,-1.0685257002163917,-1.0685257002163917
JTOUSDT,retest,close_above_break,20,True,3.0,0.0,0.0,-10.258904566865468,-10.233737330802882,-1.0258904566865465,-1.023373733080288
JUPUSDT,retest,close_above_break,20,True,5.0,0.0,0.0,-10.297243000619767,-10.284854579443872,-1.0297243000619765,-1.0284854579443874
JUSDT,retest,close_above_break,20,True,2.0,50.0,3.9608140047620894,14.913812090857146,14.913812090857146,1.4913812090857144,1.4913812090857144
KAIAUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.9208214234845704,6.352331404128637,-10.221959264383424,0.6352331404128636,-1.0221959264383425
KAITOUSDT,retest,close_above_break,20,True,5.0,40.0,2.60576307801448,9.814998163859611,-10.132954719794352,0.9814998163859607,-1.0132954719794351
KASUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-10.386405927072454,-10.386405927072454,-1.0386405927072455,-1.0386405927072455
KAVAUSDT,retest,close_above_break,20,True,5.0,40.0,0.9296525481771571,-0.44141362425713665,-10.342786892514782,-0.04414136242571369,-1.034278689251478
KDAUSDT,retest,close_above_break,20,True,1.0,100.0,,10.213474494862126,10.213474494862126,1.0213474494862127,1.0213474494862127
KERNELUSDT,retest,close_above_break,20,True,5.0,40.0,2.6134828426754066,9.807676094553383,-10.085405657762628,0.9807676094553383,-1.0085405657762627
KMNOUSDT,retest,close_above_break,20,True,5.0,20.0,0.947384472680032,-0.4396529863477337,-10.359415099044805,-0.04396529863477365,-1.0359415099044806
KNCUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-10.683514451362845,-10.683514451362845,-1.0683514451362843,-1.0683514451362843
KSMUSDT,retest,close_above_break,20,True,4.0,100.0,,25.449442794114177,28.296996781125316,2.5449442794114177,2.8296996781125316
L3USDT,retest,close_above_break,20,True,2.0,50.0,0.5222348214142482,-2.4141048821482047,-2.4141048821482047,-0.2414104882148203,-0.2414104882148203
LAUNCHCOINUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-10.134351159148922,-10.134351159148922,-1.0134351159148922,-1.0134351159148922
LDOUSDT,retest,close_above_break,20,True,4.0,50.0,3.0529332418956905,10.491518015982003,6.2350160801834855,1.0491518015982004,0.6235016080183489
LINKUSDT,retest,close_above_break,20,True,5.0,60.0,4.373816858070697,13.956816837741474,11.43373829349547,1.3956816837741473,1.143373829349547
LISTAUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,0.0468799942458592,-6.446372341216712,-10.10330210060377,-0.6446372341216713,-1.010330210060377
LPTUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.0110190918972213,0.07627934273608379,-10.363662810802316,0.007627934273608379,-1.0363662810802317
LQTYUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-10.2063969276054,-10.2063969276054,-1.02063969276054,-1.02063969276054
LRCUSDT,retest,close_above_break,20,True,2.0,100.0,,39.64575789291352,39.64575789291352,3.9645757892913522,3.9645757892913522
LSKUSDT,retest,close_above_break,20,True,1.0,100.0,,39.465444037597486,39.465444037597486,3.946544403759749,3.946544403759749
LTCUSDT,retest,close_above_break,20,True,8.0,25.0,1.2637189896337677,2.0680753397118927,-10.376907506837506,0.20680753397118945,-1.0376907506837507
LUMIAUSDT,retest,close_above_break,20,True,2.0,50.0,358.6261908613898,19.766172609763156,19.766172609763156,1.9766172609763157,1.9766172609763157
MAGICUSDT,retest,close_above_break,20,True,1.0,100.0,,39.86689268647865,39.86689268647865,3.986689268647865,3.986689268647865
MAJORUSDT,retest,close_above_break,20,True,2.0,0.0,0.0,-10.324600138334336,-10.324600138334336,-1.0324600138334339,-1.0324600138334339
MANAUSDT,retest,close_above_break,20,True,4.0,50.0,3.8474006486512597,14.62992389029674,14.631853021158841,1.4629923890296737,1.4631853021158843
MANTAUSDT,retest,close_above_break,20,True,2.0,100.0,,39.53668868002408,39.53668868002408,3.953668868002408,3.953668868002408
MASAUSDT,retest,close_above_break,20,True,2.0,50.0,1.9719474207145924,4.919241408077851,4.919241408077851,0.491924140807785,0.491924140807785
MASKUSDT,retest,close_above_break,20,True,4.0,50.0,2.9129776305165964,10.096558063787402,5.811418099154537,1.0096558063787402,0.5811418099154536
MAVIAUSDT,retest,close_above_break,20,True,3.0,66.66666666666666,4.374874274659698,11.499793623374075,4.81554629285384,1.1499793623374075,0.481554629285384
MAVUSDT,retest,close_above_break,20,True,2.0,50.0,3.930904729710584,14.792344113857832,14.792344113857832,1.4792344113857832,1.4792344113857832
MBOXUSDT,retest,close_above_break,20,True,1.0,100.0,,39.79289239831208,39.79289239831208,3.979289239831208,3.979289239831208
MEMEUSDT,retest,close_above_break,20,True,2.0,0.0,0.0,-5.559811602800704,-5.559811602800704,-0.5559811602800704,-0.5559811602800704
MERLUSDT,retest,close_above_break,20,True,4.0,25.0,1.3012844018976626,2.3022963097205733,-10.156980900978551,0.23022963097205734,-1.0156980900978552
METISUSDT,retest,close_above_break,20,True,2.0,100.0,,29.937254973499932,29.937254973499932,2.9937254973499936,2.9937254973499936
MEUSDT,retest,close_above_break,20,True,3.0,0.0,0.0,-10.344155795429074,-10.258574106827428,-1.0344155795429073,-1.0258574106827427
MEWUSDT,retest,close_above_break,20,True,7.0,42.857142857142854,2.423248812883036,8.297742534224152,-10.144863064032917,0.8297742534224154,-1.0144863064032914
MINAUSDT,retest,close_above_break,20,True,5.0,80.0,9.672931247840268,17.893395803342663,11.243694990252225,1.789339580334267,1.1243694990252222
MKRUSDT,retest,close_above_break,20,True,7.0,14.285714285714285,0.6413614210990833,-3.170109794721143,-10.292871104481913,-0.31701097947211426,-1.029287110448191
MNTUSDT,retest,close_above_break,20,True,9.0,44.44444444444444,2.378538953532177,8.088723551881758,-10.31377326942292,0.8088723551881757,-1.031377326942292
MOODENGUSDT,retest,close_above_break,20,True,3.0,66.66666666666666,26.151269217484924,21.92564646060522,28.61396131837103,2.1925646460605215,2.861396131837103
MORPHOUSDT,retest,close_above_break,20,True,1.0,100.0,,2.2726537042163093,2.2726537042163093,0.2272653704216309,0.2272653704216309
MOVEUSDT,retest,close_above_break,20,True,2.0,0.0,0.0,-6.420737205685396,-6.420737205685396,-0.6420737205685396,-0.6420737205685396
MTLUSDT,retest,close_above_break,20,True,4.0,50.0,2.892786423419932,9.863764073703216,5.363883755989464,0.9863764073703215,0.5363883755989465
MUBARAKUSDT,retest,close_above_break,20,True,2.0,0.0,0.0,-10.294976540414421,-10.294976540414421,-1.029497654041442,-1.029497654041442
MYROUSDT,retest,close_above_break,20,True,3.0,66.66666666666666,5.336271152259949,14.628260733472422,14.15940856898084,1.4628260733472416,1.415940856898084
NEARUSDT,retest,close_above_break,20,True,4.0,50.0,2.408784328484259,7.284058829434508,0.03791486964042878,0.7284058829434507,0.003791486964042745
NEIROETHUSDT,retest,close_above_break,20,True,3.0,33.33333333333333,1.9729376722684622,6.5547583402789655,-10.095271787661892,0.6554758340278966,-1.0095271787661892
NEOUSDT,retest,close_above_break,20,True,7.0,71.42857142857143,9.550615040361764,25.309616809363593,39.52093101947739,2.530961680936359,3.9520931019477383
NILUSDT,retest,close_above_break,20,True,2.0,50.0,3.9081293728366506,14.783515252273839,14.783515252273839,1.4783515252273838,1.4783515252273838
NOTUSDT,retest,close_above_break,20,True,3.0,66.66666666666666,5.053562735093738,13.812845497743686,11.951943566040226,1.3812845497743684,1.1951943566040226
NSUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-8.592134744993082,-8.592134744993082,-0.8592134744993082,-0.8592134744993082
OBOLUSDT,retest,close_above_break,20,True,1.0,0.0,0.0,-10.128230017144263,-10.128230017144263,-1.0128230017144264,-1.0128230017144264
OGUSDT,retest,close_above_break,20,True,8.0,37.5,2.655832275079388,9.276310645428879,-6.674764253310211,0.9276310645428878,-0.6674764253310213
OLUSDT,retest,close_above_break,20,True,4.0,50.0,0.68681996769222,-1.5891536842902274,-2.6427581738177213,-0.15891536842902282,-0.2642758173817721
OMNIUSDT,retest,close_above_break,20,True,1.0,100.0,,39.7766528150676,39.7766528150676,3.97766528150676,3.97766528150676
OMUSDT,retest,close_above_break,20,True,7.0,0.0,0.0,-9.14500989567441,-10.278197094996973,-0.9145009895674409,-1.0278197094996973
